state_name,mmr_rate,year
VIRGINIA,89.3,1997
WASHINGTON,90.9,1997
WEST VIRGINIA,91.4,1997
WISCONSIN,91.3,1997
WYOMING,83.5,1997
ALABAMA,95.1,1998
ALASKA,89.7,1998
ARIZONA,87.7,1998
ARKANSAS,87.6,1998
CALIFORNIA,91,1998
COLORADO,92.7,1998
CONNECTICUT,96.1,1998
DELAWARE,94.2,1998
DISTRICT OF COLUMBIA,92.2,1998
FLORIDA,92.1,1998
GEORGIA,91.6,1998
HAWAII,93.7,1998
IDAHO,89.5,1998
ILLINOIS,91.4,1998
INDIANA,92.5,1998
IOWA,91.5,1998
KANSAS,90.9,1998
KENTUCKY,91.4,1998
LOUISIANA,88,1998
MAINE,93.3,1998
MARYLAND,89.1,1998
MASSACHUSETTS,95.7,1998
MICHIGAN,90,1998
MINNESOTA,91.5,1998
MISSISSIPPI,92.9,1998
MISSOURI,91.8,1998
MONTANA,90.6,1998
NEBRASKA,90.2,1998
NEVADA,91,1998
NEW HAMPSHIRE,94.5,1998
NEW JERSEY,95.2,1998
NEW MEXICO,85,1998
NEW YORK,94.7,1998
NORTH CAROLINA,95.6,1998
NORTH DAKOTA,87.5,1998
OHIO,91.3,1998
OKLAHOMA,93.7,1998
OREGON,88.6,1998
PENNSYLVANIA,94.4,1998
RHODE ISLAND,96.5,1998
SOUTH CAROLINA,94.1,1998
SOUTH DAKOTA,90.2,1998
TENNESSEE,93,1998
TEXAS,89.6,1998
UTAH,89.9,1998
VERMONT,96.1,1998
VIRGINIA,89.7,1998
WASHINGTON,89.2,1998
WEST VIRGINIA,92.6,1998
WISCONSIN,91.7,1998
WYOMING,89.5,1998
ALABAMA,89.3,1999
ALASKA,90.9,1999
ARIZONA,87.1,1999
ARKANSAS,85.1,1999
CALIFORNIA,91.8,1999
COLORADO,89.6,1999
CONNECTICUT,94.5,1999
DELAWARE,94.1,1999
DISTRICT OF COLUMBIA,91.1,1999
FLORIDA,92.2,1999
GEORGIA,92.3,1999
HAWAII,93.8,1999
IDAHO,85.9,1999
ILLINOIS,91.8,1999
